,Text
0,"Each player who wants to have access to services and products offered by Company must personally open an Account with Company (“Personal Account”). Upon registration, players must give their correct personal and contact details, i.e. name and surname, gender, address, contact email, mobile phone number (if required) and date of birth. In certain countries, players may be also asked to submit other unique identifiers, such as identity code or social security number, in order to simplify registration. After having opened a Personal Account, a player may deposit and use the amount deposited to bet on sports or play casino, live casino and virtual sports."
1,"Company will request in accordance with the applicable laws and regulations, that the player submits documents as proof of identity for a security identity check at any time, and in any case upon cumulative deposits of €2,000 on the basis of a rolling period of one hundred and eighty (180) days. Company reserves the right to retain any funds and/or winnings until the requested documents are submitted. The player will be asked to submit one or more documents such as a copy of a valid ID issued by the competent authority of a recognized state/country, e.g. passport, personal identity card, driver's license, a utility bill (e.g. for gas, electricity), a lease contract or a copy of bank vouchers, account statements, etc."
2,"Any and all personal information provided by a player to Company must be correct and complete. The player undertakes to notify Company without delay, but not later than 5 days from any actual change in the Client´s personal information of the change providing all, complete, and accurate information to Company. Company reserves the right to cancel any bets as well as winnings, block betting accounts, exclude the player from participating in other games, retain payments to the player and report the player to the authorities in charge if any information given to Company by the player turns out to be incorrect or incomplete. The player is liable for any damages and costs arising out of false or misleading information. If any deliberately false or misleading information is furnished, any and all transactions on the Personal Account shall be declared invalid. For fraud prevention purposes when making payments, including by bank cards or by other payment means, disputing the payments by third parties and investigating such cases, the Company can verify all payments. In such case the Client must provide upon request the following documents: for establishing your identity and/or verification of your age, your identification documents, for verification of your address, a bank statement, utility bill, or other documents, for the validation of a payment transaction or a withdrawal of funds, the documents requested by our partners payment systems or agents, in accordance with the professional requirements for combating money laundering and illegal financial transactions."
3,"Upon the Company's request, the Client shall provide other documents necessary for the verification of payment (including in the case of a request for a refund). The performance of the refund request can be postponed and/or not satisfied if all the documents necessary for such performance are not provided, or there are claims of third parties for the amounts on the Personal Account (for example, a return payment on the payment system). If the requested documents are not provided, the Company has the right to suspend the provision of services, including by blocking access to the Personal Account. Also if the payment system used by the Client does not allow for refunds then in order to process the refund application by the Company, the Client needs to provide alternative means of payment for the refund that is accepted by the Company."
4,"The Company, Reinvent N.V. (hereinafter “Betmaster”) a company incorporated under the laws of Curacao, having its address at: The Greenhouse, Hoogstraat 18, Willemstad, Curaçao is committed to the protection of players' personal data. This Privacy Policy describes the way in which Reinvent N.V. processes personal data and informs players about their rights. Personal data means any information relating to an identified or identifiable individual. The processing of players' data complies with all applicable data protection regulations including the European General Data Protection Regulation (GDPR). By accepting this Privacy Policy, the player confirms his (hereinafter referred to as a neutral term and applicable to both sexes) consent to the use of his personal data as set out in this Privacy Policy."
5,"The data controller of Reinvent N.V is: Reinvent N.V The Greenhouse, Hoogstraat 18, Willemstad, Curaçao, Registration Number 125641"
6,"For any privacy issues or for further information on Betmaster’s data processing activities please contact the data protection officer of Reinvent N.V: Reinvent N.V The Greenhouse, Hoogstraat 18, Willemstad, Curaçao E-Mail support@betmaster.io"
7,"In the following it is described how Betmaster processes personal data and how such processing is justified. Betmaster only processes personal data: when the player has given consent with such processing, when processing is necessary for the performance of the services provided by Betmaster, when processing is necessary for compliance with a legal obligation to which Betmaster is subject, or when processing is necessary for the purposes of the legitimate interests pursued by Betmaster or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the player."
8,Not providing personal data may mean that Betmaster is unable to provide services to the player.
9,"Data Collected when visiting the Website. During the visit of the website www.betmaster.io our system automatically collects information which is generated by the browser of the visitor of our Website and stores the data in log files on a temporary basis including but not limited to: the IP address of the requesting computer, the date and the time, the operating system, the browser used by the player. The log files may contain IP addresses which allow identification of a player. Such collection is necessary for the performance of the services provided and for the purpose of our legitimate interests in order to enable the use of the site by the visitor, to optimize the website and in order to identify dysfunctions and abuse of Betmaster services."
